systemruntime_time_in_jit_ms 4.604399999999998 1677339672389
systemruntime_time_in_jit_ms 2.393100000000004 1677339677389
# HELP microsoftaspnetcorehosting_requests_per_second Request Rate
# TYPE microsoftaspnetcorehosting_requests_per_second gauge
microsoftaspnetcorehosting_requests_per_second 63121 1677339667390
microsoftaspnetcorehosting_requests_per_second 63179 1677339672390
microsoftaspnetcorehosting_requests_per_second 62911 1677339677390
# HELP microsoftaspnetcorehosting_total_requests Total Requests
# TYPE microsoftaspnetcorehosting_total_requests gauge
microsoftaspnetcorehosting_total_requests 299473 1677339667390
microsoftaspnetcorehosting_total_requests 362652 1677339672390
microsoftaspnetcorehosting_total_requests 425563 1677339677390
# HELP microsoftaspnetcorehosting_current_requests Current Requests
# TYPE microsoftaspnetcorehosting_current_requests gauge
microsoftaspnetcorehosting_current_requests 0 1677339667390
microsoftaspnetcorehosting_current_requests 0 1677339672390
microsoftaspnetcorehosting_current_requests 0 1677339677390
# HELP microsoftaspnetcorehosting_failed_requests Failed Requests
# TYPE microsoftaspnetcorehosting_failed_requests gauge
microsoftaspnetcorehosting_failed_requests 0 1677339667390
microsoftaspnetcorehosting_failed_requests 0 1677339672390
microsoftaspnetcorehosting_failed_requests 0 1677339677390
# HELP microsoftaspnetcoreserverkestrel_connections_per_second Connection Rate
# TYPE microsoftaspnetcoreserverkestrel_connections_per_second gauge
microsoftaspnetcoreserverkestrel_connections_per_second 0 1677339667408
microsoftaspnetcoreserverkestrel_connections_per_second 0 1677339672409
microsoftaspnetcoreserverkestrel_connections_per_second 0 1677339677409
# HELP microsoftaspnetcoreserverkestrel_tls_handshakes_per_second TLS Handshake Rate
# TYPE microsoftaspnetcoreserverkestrel_tls_handshakes_per_second gauge
microsoftaspnetcoreserverkestrel_tls_handshakes_per_second 0 1677339667408
microsoftaspnetcoreserverkestrel_tls_handshakes_per_second 0 1677339672409
microsoftaspnetcoreserverkestrel_tls_handshakes_per_second 0 1677339677409
