systemruntime_time_in_jit_ms 201.2831 1677339572959
# HELP microsoftaspnetcorehosting_requests_per_second Request Rate
# TYPE microsoftaspnetcorehosting_requests_per_second gauge
microsoftaspnetcorehosting_requests_per_second 225463 1677339283644
microsoftaspnetcorehosting_requests_per_second 16479 1677339567968
microsoftaspnetcorehosting_requests_per_second 209725 1677339572959
# HELP microsoftaspnetcorehosting_total_requests Total Requests
# TYPE microsoftaspnetcorehosting_total_requests gauge
microsoftaspnetcorehosting_total_requests 1579524 1677339283644
microsoftaspnetcorehosting_total_requests 16479 1677339567968
microsoftaspnetcorehosting_total_requests 226204 1677339572959
# HELP microsoftaspnetcorehosting_current_requests Current Requests
# TYPE microsoftaspnetcorehosting_current_requests gauge
microsoftaspnetcorehosting_current_requests 0 1677339283644
microsoftaspnetcorehosting_current_requests 0 1677339567968
microsoftaspnetcorehosting_current_requests 0 1677339572959
# HELP microsoftaspnetcorehosting_failed_requests Failed Requests
# TYPE microsoftaspnetcorehosting_failed_requests gauge
microsoftaspnetcorehosting_failed_requests 0 1677339283644
microsoftaspnetcorehosting_failed_requests 0 1677339567968
microsoftaspnetcorehosting_failed_requests 0 1677339572959
# HELP microsoftaspnetcoreserverkestrel_connections_per_second Connection Rate
# TYPE microsoftaspnetcoreserverkestrel_connections_per_second gauge
microsoftaspnetcoreserverkestrel_connections_per_second 0 1677339283644
microsoftaspnetcoreserverkestrel_connections_per_second 874 1677339567968
microsoftaspnetcoreserverkestrel_connections_per_second 126 1677339572959
# HELP microsoftaspnetcoreserverkestrel_total_connections Total Connections
# TYPE microsoftaspnetcoreserverkestrel_total_connections gauge
microsoftaspnetcoreserverkestrel_total_connections 1000 1677339283644
microsoftaspnetcoreserverkestrel_total_connections 874 1677339567968
microsoftaspnetcoreserverkestrel_total_connections 1000 1677339572959
# HELP microsoftaspnetcoreserverkestrel_tls_handshakes_per_second TLS Handshake Rate
# TYPE microsoftaspnetcoreserverkestrel_tls_handshakes_per_second gauge
microsoftaspnetcoreserverkestrel_tls_handshakes_per_second 0 1677339283644
microsoftaspnetcoreserverkestrel_tls_handshakes_per_second 0 1677339567968
microsoftaspnetcoreserverkestrel_tls_handshakes_per_second 0 1677339572959
# HELP microsoftaspnetcoreserverkestrel_total_tls_handshakes Total TLS Handshakes
# TYPE microsoftaspnetcoreserverkestrel_total_tls_handshakes gauge
microsoftaspnetcoreserverkestrel_total_tls_handshakes 0 1677339283644
microsoftaspnetcoreserverkestrel_total_tls_handshakes 0 1677339567968
microsoftaspnetcoreserverkestrel_total_tls_handshakes 0 1677339572959
# HELP microsoftaspnetcoreserverkestrel_current_tls_handshakes Current TLS Handshakes
# TYPE microsoftaspnetcoreserverkestrel_current_tls_handshakes gauge
microsoftaspnetcoreserverkestrel_current_tls_handshakes 0 1677339283644
microsoftaspnetcoreserverkestrel_current_tls_handshakes 0 1677339567968
microsoftaspnetcoreserverkestrel_current_tls_handshakes 0 1677339572959
# HELP microsoftaspnetcoreserverkestrel_failed_tls_handshakes Failed TLS Handshakes
# TYPE microsoftaspnetcoreserverkestrel_failed_tls_handshakes gauge
microsoftaspnetcoreserverkestrel_failed_tls_handshakes 0 1677339283644
microsoftaspnetcoreserverkestrel_failed_tls_handshakes 0 1677339567968
microsoftaspnetcoreserverkestrel_failed_tls_handshakes 0 1677339572959
# HELP microsoftaspnetcoreserverkestrel_current_connections Current Connections
# TYPE microsoftaspnetcoreserverkestrel_current_connections gauge
microsoftaspnetcoreserverkestrel_current_connections 1000 1677339283644
microsoftaspnetcoreserverkestrel_current_connections 874 1677339567968
microsoftaspnetcoreserverkestrel_current_connections 1000 1677339572959
# HELP microsoftaspnetcoreserverkestrel_connection_queue_length Connection Queue Length
# TYPE microsoftaspnetcoreserverkestrel_connection_queue_length gauge
microsoftaspnetcoreserverkestrel_connection_queue_length 0 1677339283644
microsoftaspnetcoreserverkestrel_connection_queue_length 0 1677339567968
microsoftaspnetcoreserverkestrel_connection_queue_length 0 1677339572959
# HELP microsoftaspnetcoreserverkestrel_request_queue_length Request Queue Length
# TYPE microsoftaspnetcoreserverkestrel_request_queue_length gauge
microsoftaspnetcoreserverkestrel_request_queue_length 0 1677339283644
microsoftaspnetcoreserverkestrel_request_queue_length 0 1677339567968
microsoftaspnetcoreserverkestrel_request_queue_length 0 1677339572959
# HELP microsoftaspnetcoreserverkestrel_current_upgraded_requests Current Upgraded Requests (WebSockets)
# TYPE microsoftaspnetcoreserverkestrel_current_upgraded_requests gauge
microsoftaspnetcoreserverkestrel_current_upgraded_requests 0 1677339283644
microsoftaspnetcoreserverkestrel_current_upgraded_requests 0 1677339567968
microsoftaspnetcoreserverkestrel_current_upgraded_requests 0 1677339572959
